Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,964,0,370,461.9907121089594,258.41233800019836,4865.234595999937,18005.0,1.0722188388800364,0.0,370,450,550,610,690,830,1200,1300,4900,4900,4900
GET,/api/cart,2489,0,300,354.50532832669313,255.00173299951712,4484.458474995336,24.0,2.7684156534983515,0.0,300,320,340,350,450,600,1000,1300,4300,4500,4500
POST,/api/cart,4829,2,360,395.9697190364803,256.8341549995239,4511.7939230040065,118.01221785048665,5.371104536256946,0.0022245204126141835,360,370,400,410,500,630,1000,1300,1700,4500,4500
POST,/api/checkout,1572,1,370,437.888318062271,295.5436150004971,2969.9044809967745,1663.703562340967,1.7484730443147483,0.0011122602063070918,370,410,450,460,570,810,1200,1400,2100,3000,3000
GET,/api/data/,373,0,600,661.755882193143,510.2089270003489,2356.5077609964646,203.23056300268095,0.4148730569525452,0.0,600,630,660,690,830,1100,1400,1500,2400,2400,2400
GET,/api/data/?contextKeys=accessories,354,0,600,678.7364184573598,503.0697859983775,1955.9054619967355,303.0,0.3937401130327105,0.0,600,630,670,700,910,1200,1600,1700,2000,2000,2000
GET,/api/data/?contextKeys=assembly,326,0,600,689.004744647456,504.92856100026984,4818.348693006556,89.0,0.3625968272561119,0.0,600,630,650,670,790,940,1600,2700,4800,4800,4800
GET,/api/data/?contextKeys=binoculars,332,0,600,657.8822519817528,505.30297699879156,1845.583408998209,83.0,0.3692703884939545,0.0,600,630,670,700,800,1000,1400,1600,1800,1800,1800
GET,/api/data/?contextKeys=books,356,0,590,639.7424325054437,508.4704309992958,1693.2320140040247,203.0365168539326,0.3959646334453247,0.0,590,620,640,650,740,970,1300,1500,1700,1700,1700
GET,/api/data/?contextKeys=telescopes,351,0,600,653.327784829139,507.19879099779064,4791.022787998372,106.0,0.3904033324137892,0.0,600,630,650,670,780,990,1200,1200,4800,4800,4800
GET,/api/data/?contextKeys=travel,333,0,600,630.2706173151524,504.9746679942473,1545.618223004567,129.0,0.37038264870026155,0.0,600,620,640,660,730,880,1100,1200,1500,1500,1500
GET,/api/product-reviews/0PUK6V6EV0,165,0,350,385.62015949697303,294.1335049981717,1450.2462089949404,988.0,0.18352293404067016,0.0,350,360,380,410,480,600,840,990,1500,1500,1500
GET,/api/product-reviews/1YMWWN1N4O,150,0,340,395.6302403202183,292.8921220009215,4507.527960005973,1023.0,0.16683903094606378,0.0,340,360,390,400,460,570,670,670,4500,4500,4500
GET,/api/product-reviews/2ZYFJ3GM2N,160,0,350,386.75725456282635,294.63996900449274,1240.8720240055118,999.0,0.1779616330091347,0.0,350,370,400,420,490,560,950,1100,1200,1200,1200
GET,/api/product-reviews/66VCHSJNUP,166,0,350,401.9647543137109,299.96321100043133,1140.5774079976254,997.0,0.18463519424697725,0.0,350,370,410,440,570,660,980,1000,1100,1100,1100
GET,/api/product-reviews/6E92ZMYYFZ,163,0,350,399.8263378894443,291.98382100003073,1282.7705889940262,1026.0,0.18129841362805596,0.0,350,370,400,430,570,660,790,1200,1300,1300,1300
GET,/api/product-reviews/9SIQT8TOJO,163,0,340,375.4381096255955,298.16669600404566,1357.6917339960346,1010.0,0.18129841362805596,0.0,340,350,370,390,490,550,660,1000,1400,1400,1400
GET,/api/product-reviews/HQTGWGPNH4,162,0,350,382.3624795248314,302.76234899793053,1392.1168809974915,1031.0,0.18018615342174887,0.0,350,360,390,410,480,550,700,770,1400,1400,1400
GET,/api/product-reviews/L9ECAV7KIM,149,0,350,382.2415008520412,295.1091439972515,1094.7654699994018,943.0,0.16572677073975667,0.0,350,370,380,400,480,640,740,900,1100,1100,1100
GET,/api/product-reviews/LS4PSXUNUM,167,0,340,405.98554397637963,294.3333079965669,2266.654669001582,1010.0,0.18574745445328433,0.0,340,350,380,400,570,740,1100,1300,2300,2300,2300
GET,/api/product-reviews/OLJCESPC7Z,167,0,350,428.9917414252034,296.30453400022816,1538.255075996858,1015.0,0.18574745445328433,0.0,350,380,410,440,560,990,1300,1500,1500,1500,1500
GET,/api/products/0PUK6V6EV0,1285,0,300,343.9963794153866,255.67388399940683,2456.97715300048,421.0,1.429254365104613,0.0,300,320,330,350,420,600,850,1100,2400,2500,2500
GET,/api/products/1YMWWN1N4O,1279,1,300,343.0444060233997,254.5839679951314,4547.545198998705,887.3799843627834,1.4225808038667704,0.0011122602063070918,300,320,340,350,410,540,890,1100,1800,4500,4500
GET,/api/products/2ZYFJ3GM2N,1263,1,300,350.1643129595599,256.3820889990893,2367.307394000818,555.6349960411718,1.404784640565857,0.0011122602063070918,300,320,340,360,430,580,1000,1200,2300,2400,2400
GET,/api/products/66VCHSJNUP,1211,1,300,345.24025575789904,254.55588000477292,4307.059203005338,493.67052023121386,1.3469471098378882,0.0011122602063070918,300,320,340,350,420,510,810,1100,4300,4300,4300
GET,/api/products/6E92ZMYYFZ,1247,0,300,331.8896991018385,255.6119810033124,1377.5738030017237,475.0,1.3869884772649435,0.0,300,310,330,350,400,510,720,930,1300,1400,1400
GET,/api/products/9SIQT8TOJO,1302,0,300,340.5526350882634,254.20367499464191,2261.004973006493,778.0,1.4481627886118336,0.0,300,320,340,350,410,540,830,1100,1500,2300,2300
GET,/api/products/HQTGWGPNH4,1277,0,300,338.0954723186693,254.32552499842132,2385.0363759993343,739.0,1.4203562834541563,0.0,300,320,340,350,410,510,790,1200,2300,2400,2400
GET,/api/products/L9ECAV7KIM,1260,1,300,345.3971400357298,254.21165599982487,2264.8898449988337,734.4920634920635,1.4014478599469358,0.0011122602063070918,300,320,340,360,430,560,910,1100,1400,2300,2300
GET,/api/products/LS4PSXUNUM,1269,0,300,348.18660651838167,254.82478699996136,4592.6350669979,529.0,1.4114582018036994,0.0,300,320,340,350,410,530,830,1100,4400,4600,4600
GET,/api/products/OLJCESPC7Z,1304,0,310,343.10108734119524,257.39046999660786,2311.9059070013463,506.0,1.4503873090244477,0.0,310,330,350,360,410,510,700,1100,1800,2300,2300
GET,/api/recommendations?productIds=0PUK6V6EV0,272,0,350,451.17183596676114,270.00306300033117,4725.609167995572,2532.8529411764707,0.302534776115529,0.0,350,400,420,460,640,1100,1400,1900,4700,4700,4700
GET,/api/recommendations?productIds=1YMWWN1N4O,243,0,350,427.0411307406753,266.2977090003551,2017.269602001761,2314.716049382716,0.2702792301326233,0.0,350,390,430,480,600,880,1400,1500,2000,2000,2000
GET,/api/recommendations?productIds=2ZYFJ3GM2N,229,0,340,410.6199137598526,266.1959550023312,1748.527864998323,2464.9781659388645,0.254707587244324,0.0,340,370,410,460,600,780,1100,1200,1700,1700,1700
GET,/api/recommendations?productIds=66VCHSJNUP,245,0,350,424.4548462615206,270.2900509975734,1709.7246289995383,2493.138775510204,0.2725037505452375,0.0,350,390,430,470,580,910,1400,1600,1700,1700,1700
GET,/api/recommendations?productIds=6E92ZMYYFZ,251,0,350,456.94771637462117,268.3144059992628,1759.240530001989,2550.0876494023905,0.27917731178308003,0.0,350,390,450,510,750,1200,1400,1500,1800,1800,1800
GET,/api/recommendations?productIds=9SIQT8TOJO,257,0,340,408.0965859962526,269.4727990019601,1442.910869998741,2378.715953307393,0.2858508730209226,0.0,340,380,410,460,600,910,950,1000,1400,1400,1400
GET,/api/recommendations?productIds=HQTGWGPNH4,210,0,340,414.7230751188458,268.1179140054155,2580.4171199997654,2404.795238095238,0.23357464332448927,0.0,340,380,400,440,610,910,1100,1600,2600,2600,2600
GET,/api/recommendations?productIds=L9ECAV7KIM,248,0,340,392.15061537520194,269.5427060025395,1525.0740280025639,2402.2258064516127,0.27584053116415874,0.0,340,370,400,430,520,620,1200,1200,1500,1500,1500
GET,/api/recommendations?productIds=LS4PSXUNUM,248,0,340,432.01983867760237,270.24155000253813,2943.657379997603,2476.4879032258063,0.27584053116415874,0.0,340,380,440,470,590,860,1300,1500,2900,2900,2900
GET,/api/recommendations?productIds=OLJCESPC7Z,253,0,340,419.82672722532095,264.84859999618493,1923.0941619971418,2496.5415019762845,0.2814018321956942,0.0,340,370,420,450,610,910,1200,1500,1900,1900,1900
,Aggregated,29044,7,330,397.9473359362165,254.20367499464191,4865.234595999937,1253.9259399531745,32.304485431983174,0.0077858214441496425,330,360,410,450,600,700,1100,1300,2400,4800,4900
