Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (AgentSessions),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Work category),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Backtest EWMA alpha and retune Drain3 masking/sim_th,TF1-80,10143,Sub-task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Thanh Hoang (Jax),712020:e0337882-a4e1-4f73-afd8-f8d0bb562575,Vinh Bui,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,Vinh Bui,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,13/Jul/26 5:34 PM,13/Jul/26 5:34 PM,13/Jul/26 6:03 PM,,,0,ai-w2-aiops,ai-w2-data,,,,,,Backtest EWMA parameters and rerun Drain3 parameter grid with masking on 24h EKS logs.,,Vinh Bui,,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000ev:,,,,,,Sprint 2,,,,,,,,,,,,,,,,,,10134,TF1-71,[AIOps][W2] Verify rule draft trên EKS (memory/kafka/burn) + backtest EWMA alpha + Drain3 masking → chốt sim_th,To Do,13/Jul/26 5:34 PM
"Verify EKS alert rules, MTTD and polling interval",TF1-79,10142,Sub-task,In Progress,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Nguyễn Ngọc Giao,6288975d0685de006fd3d9d8,Vinh Bui,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,Vinh Bui,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,13/Jul/26 5:34 PM,15/Jul/26 12:01 PM,,,,0,ai-w2-aiops,ai-w2-eks,,,,,,Verify memory and Kafka-related rule semantics on EKS; measure ingest lag/MTTD and justify detector polling interval.,,Vinh Bui,,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000en:,,,,,,Sprint 2,,,,,,,,,,,,,,,,,,10134,TF1-71,[AIOps][W2] Verify rule draft trên EKS (memory/kafka/burn) + backtest EWMA alpha + Drain3 masking → chốt sim_th,In Progress,15/Jul/26 12:01 PM
[AIOps] Intelligent Systems Observability & Auto-Remediation,TF1-78,10141,Epic,Selected for Development,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Medium,,Vinh Bui,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,Vinh Bui,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 3:13 PM,15/Jul/26 12:56 PM,13/Jul/26 9:22 PM,,,0,,,,,,,,Cấu hình Intelligent Systems Observability & Auto-Remediation.,,Định Nguyễn,,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,ghx-label-7,,To Do,,,,purple,,,,,0|i000ef:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,13/Jul/26 9:21 PM
[AIE] AI Product Features & Shopping Copilot,TF1-77,10140,Epic,Selected for Development,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Medium,,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 3:13 PM,15/Jul/26 12:56 PM,13/Jul/26 4:33 PM,,,0,,,,,,,,Tổng hợp AI Shopping Copilot và AI Recommendations.,,Định Nguyễn,,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i000ej:,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,13/Jul/26 3:13 PM
[AIOps][W2] Phối hợp CDO chốt log backend (shrink OpenSearch vs Loki) — cung cấp requirement + script đo,TF1-76,10139,Task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Medium,,Trần Mạnh Trường,712020:a9970ac1-131b-4ec8-b522-87dd22c7271a,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:19 AM,13/Jul/26 5:35 PM,13/Jul/26 9:22 AM,,27/Jul/26 12:00 AM,0,AIOps,ai-w2-cost,ai-w2-stretch,cdo-coordination,cost,week2,,"*Mục tiêu:* CDO raise cost OpenSearch; AI cung cấp requirement + đo để CDO quyết. Theo mentor 13/07: requirement-first, rẻ nhất mà đạt win (TÍNH cả chi phí migration); TÁCH log storage khỏi vector store.

*Việc (phần của AI — CDO quyết backend):*

* Cấp requirement đo được cho CDO: phrase-count 5m + read raw lines + MTTD ≤2 phút ({{ai-data-requirements-for-cdo.md}} mục 6-8).
* Nhận baseline RAM/EBS OpenSearch hiện tại từ CDO.
* Nếu CDO thử Loki: chạy {{measure_detection_pipeline.py}} trỏ Loki + OS-đã-bóp song song → so ingest/MTTD táo-với-táo.
* Detector adapter cho backend CDO chọn (~50 dòng, query đã tách trong {{sources.py}}).
* *KHÔNG* đụng vector store (semantic search deferred — catalog 10 sản phẩm).

*Done:* CDO chốt backend với số so sánh; AI có adapter nếu đổi. *Ref:* mentor decision, {{ai-data-requirements-for-cdo.md}} §8.1.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000dz:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,2.0,,,,,,,,,2026-07-13 10:35:04.233,,"13/Jul/26 5:35 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-76] Week 2 owner: Trường Reviewer: Tiến Thành Acceptance criteria: Có bảng RAM/EBS/MTTD táo-với-táo; không tự migrate backend nếu CDO chưa chốt. Planning load: 2 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10141,TF1-78,[AIOps] Intelligent Systems Observability & Auto-Remediation,To Do,13/Jul/26 9:19 AM
[AIOps][W2] Telemetry EKS: verify trace continuity + readiness-gating span (INC-3) + prompt-caching Nova,TF1-75,10138,Task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Thịnh Nguyễn Hưng,712020:13a3f803-4895-403d-a774-dbea11f32c2d,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:18 AM,13/Jul/26 5:35 PM,13/Jul/26 10:04 AM,,27/Jul/26 12:00 AM,0,AIOps,ai-w2-aiops,ai-w2-telemetry,blocked-eks,telemetry,week2,,"*Mục tiêu:* telemetry đã verify trên compose (1 trace × 12 service), cần verify lại trên EKS + đóng 2 việc còn dở.

*Việc:*

* Verify trace continuity trên EKS (collector daemonset khác compose): browser→proxy→service→collector→Jaeger không đứt ({{telemetry-audit.md}}).
* INC-3: kiểm span ghi đúng thời điểm readiness của service khi deploy để tránh 503 (readiness-gating).
* *Prompt caching* Bedrock (pitch Phần 2 dòng ""tối ưu nhất""): bật để giảm token input tóm tắt lặp — đo tiết kiệm thật.

*Done:* trace liền mạch trên EKS confirmed; readiness span có mặt; prompt-caching đo được tiết kiệm. *Ref:* TF1-51, review pitch cost model.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000dr:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,5.0,,,,,,,,,2026-07-13 10:35:02.865,,"13/Jul/26 5:35 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-75] Week 2 owner: Hưng Thịnh Reviewer: Tiến Thành Acceptance criteria: Trace continuity EKS, readiness gating và prompt-cache saving đều có evidence định lượng. Planning load: 5 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10141,TF1-78,[AIOps] Intelligent Systems Observability & Auto-Remediation,To Do,13/Jul/26 9:18 AM
[AIE][Safety][W2] Copilot end-to-end: confirmation gate + guardrail + injection eval trên agent thật,TF1-74,10137,Task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Highest,,Vinh Bui,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:18 AM,13/Jul/26 5:34 PM,13/Jul/26 3:44 PM,,27/Jul/26 12:00 AM,0,AIE,ai-w2-core,ai-w2-safety,copilot,safety,week2,,"*Mục tiêu:* khác biệt lớn nhất so với RAG read-only (CLAUDE.md): cart là write-tool, mọi thao tác ghi phải có cổng xác nhận; copilot phải chống injection qua review.

*Việc (sau khi TF1-59/56 có agent chạy thật):*

* Confirmation gate: {{add_to_cart}} → pending_confirmation, KHÔNG bao giờ tự {{empty_cart}}/checkout.
* Wire guardrail ({{guardrails.py}} — đã có cho product-reviews) vào copilot: sanitize tool result, output guard.
* Chạy {{golden_qa_dataset.json}} 4 case injection trên agent thật: chặn ""add 10 to cart"", ""reveal system prompt"", ""medical claim"", ""checkout without confirm"".

*Done:* eval injection pass 4/4 trên agent thật; không tool ghi nào chạy không confirm. *Ref:* AI_FEATURE Phần B, ADR-006, phụ thuộc TF1-59/56/61.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000dj:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,5.0,,,,,,,,,2026-07-13 10:34:47.457,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-74] Week 2 owner: Vinh Reviewer: Định Acceptance criteria: Không write-tool nào chạy thiếu confirmation; bộ injection eval pass. Planning load: 5 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10140,TF1-77,[AIE] AI Product Features & Shopping Copilot,To Do,13/Jul/26 9:18 AM
[AIOps][Cost][W2] Tín hiệu cost Bedrock (token counter → metric) + AWS Budgets/Cost Anomaly alert,TF1-73,10136,Task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Thịnh Nguyễn Hưng,712020:13a3f803-4895-403d-a774-dbea11f32c2d,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:18 AM,13/Jul/26 5:35 PM,13/Jul/26 9:21 AM,,27/Jul/26 12:00 AM,0,AIOps,ai-w2-aiops,ai-w2-cost,cost,week2,,,"*Mục tiêu:* đề liệt kê ""cost"" là 1 trong các tín hiệu đa-tín-hiệu (latency/error/saturation/queue/*cost*); hiện detector chưa có tín hiệu cost — gap duy nhất trong 6 nhóm tín hiệu.

*Việc:*

* Export metric token/chi phí Bedrock từ product-reviews (đếm input/output token per request → Prometheus gauge/counter).
* Rule detector cảnh báo khi chi phí Bedrock/giờ vượt ngưỡng (bám trần BUDGET.md).
* Dựng *AWS Budgets + Cost Anomaly Detection* (BUDGET.md khuyến nghị dựng sớm) alert khi tiến gần trần.

*Done:* detector có rule cost sống + AWS Budgets alert cấu hình. *Ref:* review AIOps coverage (cost gap), BUDGET.md.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000db:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,5.0,,,,,,,,,2026-07-13 10:35:01.374,,"13/Jul/26 5:35 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-73] Week 2 owner: Hưng Thịnh Reviewer: Tiến Thành Acceptance criteria: Token/cost metric sống, detector threshold có căn cứ và AWS Budget alert có evidence. Planning load: 4 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10141,TF1-78,[AIOps] Intelligent Systems Observability & Auto-Remediation,To Do,13/Jul/26 9:18 AM
[AIOps][W2] Closed-loop auto-remediation: implement vòng dry-run→blast-radius→verify→rollback→CB,TF1-72,10135,Task,Done,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Highest,Done,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:17 AM,15/Jul/26 1:10 PM,15/Jul/26 1:03 PM,13/Jul/26 3:41 PM,27/Jul/26 12:00 AM,0,AIOps,remediation,week2,,,,,"*Mục tiêu:* AIOps core của đề yêu cầu ""vòng tự động hoá xử lý sự cố, chạy liên tục"". W1 mới detect-only (đúng trình tự); W2 implement vòng khép kín theo spec {{03_specs/anomaly_remediation.md}} (đã khớp nguyên văn giáo trình).

*Việc:*

* Implement action catalog rule-based (restart pod / scale / clear cache) từ alert → hành động.
* Safety boundary: *dry-run* kiểm quyền trước; *blast radius* tối đa 1 pod/namespace/giờ; *verify* đo metrics 120s sau vá, không về ngưỡng thì *rollback*; *circuit breaker* đóng băng sau 3 fail liên tiếp + escalate on-call.
* Verify các số (120s/3-fail/1-pod-h) bằng chaos test thật, thay assumption.

*Done:* 1 kịch bản end-to-end (vd OOM → restart → verify → rollback nếu fail) chạy an toàn trên EKS với chaos. *Ref:* RULES.md §4 AIOps core, TF1-50 spec.",,Định Nguyễn,,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000d3:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,8.0,,,,,,,,,,10006_*:*_1_*:*_23039677_*|*_10005_*:*_1_*:*_0,15/Jul/26 12:56 PM;712020:1d2b710c-361d-410f-a6e2-b98e74b348f5;[KHÔNG LÀM] Hoãn sang Tuần 3 vì cần kiểm chứng metrics.,15/Jul/26 1:10 PM;712020:1d2b710c-361d-410f-a6e2-b98e74b348f5;[KHÔNG LÀM] Hoãn sang Tuần 3 vì cần kiểm chứng metrics.,,,10141,TF1-78,[AIOps] Intelligent Systems Observability & Auto-Remediation,Done,13/Jul/26 3:41 PM
[AIOps][W2] Verify rule draft trên EKS (memory/kafka/burn) + backtest EWMA alpha + Drain3 masking → chốt sim_th,TF1-71,10134,Task,In Progress,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Thanh Pham Huu Tien,712020:ea31465a-12af-4197-a758-b6297a61b6e3,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:17 AM,13/Jul/26 5:34 PM,13/Jul/26 4:20 PM,,27/Jul/26 12:00 AM,0,AIOps,ai-w2-aiops,ai-w2-parent,blocked-eks,measurement,week2,,"*Mục tiêu:* nhiều tham số/rule mới chỉ pass-parse hoặc là số đo compose — phải verify semantics + đo lại trên EKS.

*Việc:*

* {{memory-saturation-high}}: cần *kube-state-metrics + cadvisor* trên EKS (compose 0 series) — verify fire trước OOM (leading indicator cho J1).
* {{kafka-consumer-lag-high}}: verify tên metric thật trên Prometheus EKS (kafka receiver của collector).
* Backtest *EWMA alpha* (0.1/0.2/0.3) trên 24h p95 thật thay số convention ({{evaluate_detector.py}} trên data thật).
* Drain3: chạy grid CÓ masking ({{MASK=1 drain3_param_grid.py}}) trên 24h log EKS → chốt {{sim_th}} cuối (hiện default 0.3 pre-masking).
* Đo lại MTTD/ingest trên EKS → chốt poll interval (compose cho 35.4s @30s).

*Done:* mọi số DRAFT/assumption trong {{05_adrs}} Sổ đăng ký thành số đo EKS. *Ref:* review G4/G5/K4, sim_th fix.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i0009n:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,5.0,,,,,,,,,2026-07-13 10:34:59.901,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-71-PARENT] Week 2 owner: Tiến Thành Reviewer: Tiến Thành Acceptance criteria: Parent dùng để theo dõi hai workstream độc lập 71A và 71B. Planning load: 0 units Changes applied: assignee, labels, subtask, subtask Change applied from approved TF1 AI Week 2 plan.",,,,10141,TF1-78,[AIOps] Intelligent Systems Observability & Auto-Remediation,In Progress,13/Jul/26 4:03 PM
[AIOps][W2] Correlate stage: fingerprint dedup alert + ma trận tương quan golden signals (nền RCA),TF1-70,10133,Task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Highest,,Thanh Hoang (Jax),712020:e0337882-a4e1-4f73-afd8-f8d0bb562575,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:17 AM,13/Jul/26 5:34 PM,13/Jul/26 9:21 AM,,27/Jul/26 12:00 AM,0,AIOps,ai-w2-aiops,ai-w2-data,correlation,rca,week2,,"*Mục tiêu:* pipeline giáo trình có stage Correlate BẮT BUỘC (Detect→Correlate→Diagnose→Act) — hiện chỉ có cooldown per-rule, 1 sự cố Bedrock bắn 3 alert cùng lúc.

*Việc:*

* *K3 dedup:* fingerprint {{(rule_id, service, 5m-bucket)}} → gộp alert cùng bucket thành 1 message (~30 dòng trong {{alerter.py}}).
* *G7 tương quan (nền RCA mở rộng):* export 24h Prometheus (locust load) → Pearson/Spearman giữa golden signals per-service ở lag 0/30/60s; alert co-occurrence từ alerter history. Xác định leading indicator (saturation dẫn trước latency).

*Done:* 1 sự cố = 1 alert gộp; bảng tương quan + co-occurrence commit làm nền cho RCA cross-service. *Ref:* review G7/K3.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000cn:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,8.0,,,,,,,,,2026-07-13 10:34:56.397,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-70] Week 2 owner: Nhật Thành Reviewer: Tiến Thành Acceptance criteria: Alert fingerprint/dedup hoạt động; một incident chỉ phát một alert gộp; có co-occurrence matrix. Planning load: 5 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10141,TF1-78,[AIOps] Intelligent Systems Observability & Auto-Remediation,To Do,13/Jul/26 9:17 AM
