Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (AgentSessions),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Work category),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
[AIOps][W2] Multi-window burn-rate alerting thay raw error-rate (course non-negotiable) + verify PromQL EKS,TF1-69,10132,Task,In Progress,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Highest,,Nguyễn Ngọc Giao,6288975d0685de006fd3d9d8,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:16 AM,15/Jul/26 12:00 PM,13/Jul/26 9:20 AM,,27/Jul/26 12:00 AM,0,AIOps,ai-w2-aiops,ai-w2-slo,alerting,week2,,,"*Mục tiêu:* rule error-rate hiện là single-window 5m raw threshold — vi phạm non-negotiable của giáo trình AIOps (""never alert on raw error rate; use multi-window multi-burn-rate""). Hai mặt hỏng: page vì blip khi budget còn nguyên, và ngủ quên trước slow burn.

*Việc:*

* Hoàn thiện rule DRAFT {{error-budget-burn-fast}} (14.4× @5m+1h page) + thêm ticket-level (6× @30m+6h).
* Verify PromQL trên Prometheus EKS với chaos sinh HTTP 5xx thật (local chỉ tạo được gRPC error — xem {{grpc-error-rate-high}} đã verified).
* Đảm bảo phủ cả checkout (luồng ra tiền, budget 1%).

*Done:* rule burn-rate fire đúng dưới chaos EKS, im trước blip; thay rule raw cũ. *Ref:* review K1.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000b7:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,5.0,,,,,,,,,2026-07-13 10:34:54.897,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-69] Week 2 owner: Giao Reviewer: Tiến Thành Acceptance criteria: Fast/slow multi-window burn-rate rules fire đúng dưới chaos và im trước transient blip. Planning load: 5 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10141,TF1-78,[AIOps] Intelligent Systems Observability & Auto-Remediation,In Progress,15/Jul/26 12:00 PM
[AIE][Reliability][W2] Chốt ADR-003 valkey với CDO: maxmemory + tách instance cache reviews (J1 CRITICAL),TF1-68,10131,Task,In Progress,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Highest,,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:16 AM,13/Jul/26 9:17 PM,14/Jul/26 9:35 AM,,27/Jul/26 12:00 AM,0,AIE,ai-w2-p0,ai-w2-valkey,blocked-cdo,critical,reliability,week2,"*Mục tiêu:* đóng rủi ro CRITICAL J1 — {{volatile-lru}} được thêm KHÔNG có {{--maxmemory}} (policy không chạy), TTL cart từng bị gỡ → nguy cơ kubelet OOMKill mất giỏ → đánh checkout SLO ≥99%.

*Đã làm tạm 13/07:* khôi phục TTL cart 60m (baseline) trong {{ValkeyCartStore.cs}} để an toàn trong khi chờ chốt.

*Việc:*

* Chốt với CDO (xem {{open-questions-w1.md}} mục A): (a) giữ TTL cart hay (b) set {{--maxmemory}} < cgroup limit + nâng limit 20Mi + tách instance cache reviews khỏi valkey-cart.
* Soak test đo time-to-OOM ({{INFO memory}} theo giờ dưới locust) để chọn số maxmemory có căn cứ.
* Session length thật để chốt TTL cart (nếu giữ) thay vì 60m mặc định.

*Done:* ADR-003 co-sign CDO + config không còn nguy cơ OOM (chứng minh bằng soak test). *Ref:* review J1.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000av:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,5.0,,,,,,,,,2026-07-13 10:34:52.031,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-68] Week 2 owner: Định Reviewer: Vinh + CDO Acceptance criteria: ADR được co-sign; maxmemory/TTL/tách cache được chốt; soak test chứng minh không OOM. Planning load: 5 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10140,TF1-77,[AIE] AI Product Features & Shopping Copilot,In Progress,13/Jul/26 9:17 PM
[AIE][W2] Eval fidelity tóm tắt trên Nova thật + golden_qa 34 case + đưa vào CI,TF1-67,10130,Task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Thịnh Nguyễn Công,712020:e450ab44-e405-4673-9c30-f76deaccb47d,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:16 AM,13/Jul/26 5:34 PM,13/Jul/26 9:20 AM,,27/Jul/26 12:00 AM,0,AIE,ai-w2-ci,ai-w2-eval,ci,eval,week2,,"*Mục tiêu:* biến eval từ harness/mô phỏng thành số đo tái tạo được (AI_FEATURE: ""số không tái tạo được coi như chưa chứng minh"").

*Việc:*

* Chạy {{run_evals.py}} + {{golden_dataset.json}} (10 case) trên Nova thật, đo fidelity (summary khớp {{expected_summary_keywords}}, không bịa).
* Chạy {{golden_qa_dataset.json}} (24 case: grounded/no_info/injection) — kiểm ""nói không có thông tin"" khi review không đề cập.
* {{measure_before_after}} (đã viết lại đo thật qua chaos flagd) chạy trên EKS lấy số error-rate trước/sau.
* Thêm GitHub Actions: pytest + guardrail self-check + eval mỗi PR.

*Done:* báo cáo fidelity trong {{04_eval_report.md}} với số thật; CI xanh chạy được từ repo sạch. *Ref:* review B5/G3, liên quan TF1-64.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000bz:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,5.0,,,,,,,,,2026-07-13 10:34:50.366,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-67] Week 2 owner: Công Thịnh Reviewer: Vinh Acceptance criteria: Golden dataset chạy trên Nova thật trong CI từ repo sạch; báo cáo có breakdown và tái tạo được. Planning load: 4 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10140,TF1-77,[AIE] AI Product Features & Shopping Copilot,To Do,13/Jul/26 9:16 AM
[AIE][W2] Đo Bedrock latency P50/P95 thật → chốt timeout reviews 3.0/2.0s & copilot 5.0/3.0s,TF1-66,10129,Task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Phan Đức Tài,712020:5ddc2f27-a9d7-44df-ae16-56c6137782af,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:15 AM,13/Jul/26 5:34 PM,13/Jul/26 9:20 AM,,27/Jul/26 12:00 AM,0,AIE,ai-w2-bedrock,ai-w2-eval,blocked-creds,measurement,week2,,"*Mục tiêu:* timeout hiện tại dựa trên TTFT sai (spec ghi ~0.4s, Artificial Analysis thật là 1.04s / 175.7 tok/s → 1 call ~2.2s, luồng 2 vòng converse ~4.4s). Phải ĐO thật thay ước.

*Việc:*

* Chạy {{docs/ai/evals/measure_bedrock_latency.py}} trên Nova Lite/Micro/Pro thật (cần AWS creds).
* Đo P50/P95 end-to-end cho luồng reviews (2 vòng converse) và copilot (tool loop).
* Cập nhật {{LLM_REVIEWS_TIMEOUT}}/{{LLM_COPILOT_TIMEOUT}} theo số đo; sửa số trong {{03_specs/fallback_retry.md}} + slide.

*Done:* bảng P50/P95 đo được commit; timeout = số đo (không phải spec cũ). *Ref:* review B3.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000br:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,3.0,,,,,,,,,2026-07-13 10:34:49.031,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-66] Week 2 owner: Tài Reviewer: Vinh Acceptance criteria: Có bảng P50/P95 tái tạo được cho Nova Lite/Micro/Pro và timeout được cập nhật theo số đo. Planning load: 3 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10140,TF1-77,[AIE] AI Product Features & Shopping Copilot,To Do,13/Jul/26 9:15 AM
[AIE][W2] Deploy product-reviews Bedrock lên EKS thật (IAM IRSA + build→ECR + smoke test),TF1-65,10128,Task,Backlog,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Thịnh Nguyễn Công,712020:e450ab44-e405-4673-9c30-f76deaccb47d,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,13/Jul/26 9:15 AM,13/Jul/26 5:56 PM,13/Jul/26 9:20 AM,,27/Jul/26 12:00 AM,0,AIE,ai-w2-bedrock,ai-w2-core,blocked-cdo,deploy,week2,,"*Mục tiêu:* đóng tiêu chí ""chạy thật, không mockup"" (AI_FEATURE) — hiện product-reviews gọi Bedrock trong code nhưng chưa deploy được lên EKS.

*Việc:*

* CDO cấp IAM {{bedrock:InvokeModel}} (IRSA cho serviceAccount {{product-reviews}}) — xem {{docs/ai/open-questions-w1.md}} mục B.
* Enable model access console: nova-lite/micro/pro (us-east-1).
* Build image từ source → push ECR ({{.env.override}} trỏ {{804372444787.dkr.ecr...}}); cập nhật {{platform/gitops/environments/sandbox/values-aio-llm.yaml}} (đang OpenAI gpt-4o-mini → Bedrock env).
* Smoke test in-cluster: Ask AI trả summary thật từ Nova, không phải mock.

*Done:* 1 request Ask AI trên EKS trả summary Nova thật; log không có ""AI_SUMMARY_FALLBACK stage=bedrock"".

*Chặn bởi:* IAM từ CDO. *Ref:* review C4.",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000bj:,,,,,,Sprint 2,13/Jul/26 12:00 AM,,3.0,,,,,,,,,2026-07-13 10:34:45.893,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-65] Week 2 owner: Vinh Reviewer: Định Acceptance criteria: Một request trên EKS trả summary từ Nova thật qua IRSA, không rơi vào mock. Planning load: 5 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.","13/Jul/26 5:56 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:REASSIGN-TF1-65]
Reassigned from Vinh → Công Thịnh
Reason: Cân bằng tải — Vinh 10u quá cao (cũng là PM1+reviewer), Công Thịnh chỉ 4u có capacity.
Vinh: 10u → 5u (giữ TF1-74 safety)
Công Thịnh: 4u → 9u (thêm TF1-65 Bedrock deploy)
Reviewer: Định (giữ nguyên)",,,10140,TF1-77,[AIE] AI Product Features & Shopping Copilot,To Do,13/Jul/26 9:15 AM
"[Quality] Eval task-success 100% là vòng tròn — đang đo keyword matcher, không đo agent",TF1-64,10127,Task,In Progress,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,03 lê kim dũng,712020:7700aa2a-6287-4ce9-a419-db3ba9151845,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,10/Jul/26 9:45 AM,13/Jul/26 5:35 PM,13/Jul/26 5:04 PM,,15/Jul/26 12:00 AM,0,ai-w2-agent,ai-w2-eval,,,,,,"h3. Vấn đề

test_task_success.py import demo_copilot_st rồi gọi run_mock_agent(). Mà run_mock_agent route bằng danh sách keyword hardcode. Nghĩa là eval đang đo một bộ so khớp chuỗi với các kịch bản viết ra từ chính những chuỗi đó. Con số 100% không chứng minh gì về chất lượng agent.

h3. Bằng chứng

* test_task_success.py:164 — import demo_copilot_st; copilot.run_mock_agent(user_input)
* demo_copilot_st.py:446-475 — block_keywords / cart_keywords / review_keywords quyết định tool
* AI_FEATURE.md — 'duoc danh gia khong phai tra loi troi chay, ma co eval task-success'

h3. Acceptance criteria

* Eval chạy trên agent thật (servicer gRPC từ task của Tài), không phải run_mock_agent
* Kịch bản test độc lập với keyword của router — viết bởi người không đọc code router
* Báo cáo task-success kèm breakdown: tool_selection, param_accuracy, confirmation_gate, blocked
* Số đo tái tạo được từ dữ liệu + script commit trong repo",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i0009m:i,,,,,,Sprint 1,06/Jul/26 12:00 AM,,5.0,,,,,,,,,2026-07-13 10:35:05.537,,"13/Jul/26 5:35 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-64] Week 2 owner: Dũng Reviewer: Vinh Acceptance criteria: Task-success eval gọi agent gRPC thật và có breakdown tool/parameter/confirmation/blocked action. Planning load: 3 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,,,,In Progress,13/Jul/26 5:17 PM
[Quality] test_task_success.py có 0 test pytest và nuốt exception — CI xanh giả,TF1-63,10126,Task,Done,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,Done,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,10/Jul/26 9:45 AM,13/Jul/26 3:26 PM,15/Jul/26 12:57 PM,10/Jul/26 12:34 PM,13/Jul/26 12:00 AM,0,,,,,,,,"h3. Vấn đề

File tên bắt đầu bằng test_ nhưng không có hàm def test_ nào. pytest trả 'no tests ran' và exit xanh. Nếu file này nằm trong CI thì CI đang pass mà không chạy gì. Ngoài ra hai chỗ except ... pass nuốt lỗi, trả tool_calls rỗng im lặng.

h3. Bằng chứng

* pytest docs/ai/evals/test_task_success.py -q → 'no tests ran in 0.01s'
* grep -cE '^def test_' test_task_success.py → 0
* test_task_success.py:179 — except Exception: pass
* test_task_success.py:187 — except ImportError: pass, trả [] im lặng

h3. Acceptance criteria

* Mỗi scenario là một test pytest thật, chạy được bằng: pytest docs/ai/evals/
* Bỏ except...pass; lỗi import hoặc lỗi agent phải làm test đỏ, không im lặng
* Đưa eval vào CI và chứng minh CI đỏ khi chất lượng rớt",,Định Nguyễn,,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i00081:,,,,,,Sprint 1,06/Jul/26 12:00 AM,,3.0,,,,,,,,,,3_*:*_1_*:*_0_*|*_10006_*:*_1_*:*_526368,13/Jul/26 2:59 PM;712020:1d2b710c-361d-410f-a6e2-b98e74b348f5;✅ Task resolved by Pull Request: [https://github.com/nguyenductien-qnm/capstone-phase-3/pull/27|https://github.com/nguyenductien-qnm/capstone-phase-3/pull/27],,,,,,,Done,10/Jul/26 12:34 PM
[AIOps] Deploy aiops-detector lên EKS và chạy liên tục — image vẫn là placeholder,TF1-62,10125,Task,In Progress,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,,Thanh Pham Huu Tien,712020:ea31465a-12af-4197-a758-b6297a61b6e3,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,10/Jul/26 9:45 AM,13/Jul/26 5:34 PM,13/Jul/26 5:17 PM,,15/Jul/26 12:00 AM,0,ai-w2-aiops,ai-w2-core,,,,,,"h3. Vấn đề

Detector có code tốt và KPI tái tạo được, nhưng chưa deploy. Manifest vẫn để image placeholder. AI_FEATURE.md bar đánh giá cao: 'He AIOps chay lien tuc trong luc van hanh va xu ly duoc su co that (khong phai demo mot lan)'.

h3. Bằng chứng

* tools/aiops-detector/deploy/deployment.yaml:28 — image: <ECR>/techx-corp:1.0-aiops-detector (chưa thay)
* docs/ai/telemetry-audit.md:32 — audit chạy trên Docker Compose local (localhost:8080), không phải EKS
* evaluate_detector.py chạy exit 0, KPI khớp detector_kpi_metrics.json — phần code đã sẵn sàng

h3. Acceptance criteria

* Build, push ECR của TF, deploy lên EKS, thay placeholder <ECR>
* Detector poll Prometheus/OpenSearch liên tục, không phải chạy tay một lần
* Khai rõ endpoint kênh cảnh báo trong bản nộp
* Có bằng chứng detector bắt được ít nhất 1 sự cố thật trong lúc vận hành",,Vinh Bui,Định Nguyễn,712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i0009m:,,,,,,Sprint 1,06/Jul/26 12:00 AM,,3.0,,,,,,,,,2026-07-13 10:34:53.38,,"13/Jul/26 5:34 PM;712020:75cc7ed9-bd5d-4f7e-b256-08a6af7e8ba8;[AI-W2-AGENT:W2-TF1-62] Week 2 owner: Tiến Thành Reviewer: Định Acceptance criteria: AIOps detector chạy liên tục trên EKS và bắt được ít nhất một chaos thật. Planning load: 5 units Changes applied: assignee, labels Change applied from approved TF1 AI Week 2 plan.",,,,10141,TF1-78,[AIOps] Intelligent Systems Observability & Auto-Remediation,In Progress,13/Jul/26 5:17 PM
[AIE] Guardrail prompt-injection / PII / lộ system prompt — hiện tại bằng 0,TF1-61,10124,Task,Done,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,Highest,Done,Nguyễn Ngọc Giao,6288975d0685de006fd3d9d8,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,10/Jul/26 9:45 AM,13/Jul/26 9:15 PM,15/Jul/26 12:49 PM,13/Jul/26 9:15 PM,13/Jul/26 12:00 AM,0,,,,,,,,"h3. Vấn đề

product_reviews_server.py gọi Bedrock trực tiếp với nội dung review, không có lớp lọc nào. Prompt-injection nhét trong review (đúng kịch bản đề bài nêu) đi thẳng vào model. Guardrail duy nhất là blocklist keyword trong Streamlit PoC, và nó thủng.

h3. Bằng chứng

* grep -ciE 'injection|sanitiz|guardrail|redact|pii' product_reviews_server.py → 0
* demo_copilot_st.py:446 — block_keywords chặn 'xóa' nhưng không chặn 'làm trống', 'bỏ hết', 'reset giỏ'
* AI_FEATURE.md Cốt lõi 1 — 'guardrail chặn prompt-injection nhét trong review, lọc PII, chặn lộ system prompt'

h3. Acceptance criteria

* Guardrail chạy trong service thật, không phải chỉ trong PoC
* Có eval đo tỉ lệ chặn tấn công, tái tạo được bằng script commit trong repo
* Bộ test adversarial gồm biến thể tiếng Việt lẫn tiếng Anh, không chỉ khớp chuỗi
* Không lộ system prompt, không rò PII trong output",,Định Nguyễn,,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i000d7:,,,,,,Sprint 1,06/Jul/26 12:00 AM,,5.0,,,,,,,,,,3_*:*_2_*:*_268061359_*|*_10006_*:*_1_*:*_10012226_*|*_10005_*:*_1_*:*_8239540,13/Jul/26 2:59 PM;712020:1d2b710c-361d-410f-a6e2-b98e74b348f5;✅ Task resolved by Pull Request: [https://github.com/nguyenductien-qnm/capstone-phase-3/pull/36|https://github.com/nguyenductien-qnm/capstone-phase-3/pull/36],,,,10140,TF1-77,[AIE] AI Product Features & Shopping Copilot,Done,13/Jul/26 9:15 PM
[AIE] Fallback routing + retry/timeout cho product-reviews — hiện tại bằng 0,TF1-60,10123,Task,Done,TF1,Task Force 1,software,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,High,Done,Thịnh Nguyễn Công,712020:7db43fb7-4735-49a8-8f0f-de429b4e873d,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,Định Nguyễn,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,10/Jul/26 9:45 AM,13/Jul/26 9:18 PM,15/Jul/26 12:58 PM,10/Jul/26 12:36 PM,13/Jul/26 12:00 AM,0,,,,,,,,"h3. Vấn đề

specs/fallback_retry.md thiết kế flow Nova Lite sang model dự phòng, nhưng code thật không có fallback nào. except ClientError chỉ trả câu xin lỗi cho khách — đó là graceful degradation, không phải fallback routing. AI_FEATURE.md Cốt lõi 1 yêu cầu 'fallback khi LLM lỗi/chậm'.

h3. Bằng chứng

* grep -ciE 'fallback|retry|backoff|timeout' product_reviews_server.py → 0
* product_reviews_server.py:299-311 — except ClientError trả 'The system is unable to process your response'
* ThrottlingException chỉ log, không chuyển model
* specs/fallback_retry.md — spec đã có, code chưa có

h3. Acceptance criteria

* Model chính lỗi/429 thì tự chuyển model dự phòng, khách vẫn thấy tóm tắt
* Có timeout + retry với backoff trên mọi lời gọi Bedrock
* Test tái tạo được: inject ThrottlingException, chứng minh fallback kích hoạt
* Đo before/after: tỉ lệ lỗi hiển thị cho khách",,Định Nguyễn,,712020:1d2b710c-361d-410f-a6e2-b98e74b348f5,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,0|i0009f:,,,,,,Sprint 1,06/Jul/26 12:00 AM,,5.0,,,,,,,,,,10006_*:*_1_*:*_10289814_*|*_10005_*:*_1_*:*_0,13/Jul/26 2:59 PM;712020:1d2b710c-361d-410f-a6e2-b98e74b348f5;✅ Task resolved by Pull Request: [https://github.com/nguyenductien-qnm/capstone-phase-3/pull/26|https://github.com/nguyenductien-qnm/capstone-phase-3/pull/26],,,,10140,TF1-77,[AIE] AI Product Features & Shopping Copilot,Done,10/Jul/26 12:36 PM
